Entity,Code,Year,Annual CO₂ emissions growth (abs)
Slovenia,SVN,1973,1764821
Slovenia,SVN,1974,38600
Slovenia,SVN,1975,463669
Slovenia,SVN,1976,354146
Slovenia,SVN,1977,-335616
Slovenia,SVN,1978,1331469
Slovenia,SVN,1979,1110328
Slovenia,SVN,1980,-244322
Slovenia,SVN,1981,1182041
Slovenia,SVN,1982,-1216631
Slovenia,SVN,1983,1042114
Slovenia,SVN,1984,797507
Slovenia,SVN,1985,308504
Slovenia,SVN,1986,1105917
Slovenia,SVN,1987,-766054
Slovenia,SVN,1988,-453847
Slovenia,SVN,1989,-207046
Slovenia,SVN,1990,-245831
Slovenia,SVN,1991,-1121172
Slovenia,SVN,1992,-90793
Slovenia,SVN,1993,368642
Slovenia,SVN,1994,384881
Slovenia,SVN,1995,718140
Slovenia,SVN,1996,645167
Slovenia,SVN,1997,507610
Slovenia,SVN,1998,-467983
Slovenia,SVN,1999,-626558
Slovenia,SVN,2000,-358634
Slovenia,SVN,2001,1248911
Slovenia,SVN,2002,261936
Slovenia,SVN,2003,-293144
Slovenia,SVN,2004,433035
Slovenia,SVN,2005,231056
Slovenia,SVN,2006,242434
Slovenia,SVN,2007,164914
Slovenia,SVN,2008,935472
Slovenia,SVN,2009,-2074353
Slovenia,SVN,2010,255625
Slovenia,SVN,2011,-100946
Slovenia,SVN,2012,-599219
Slovenia,SVN,2013,-631305
Slovenia,SVN,2014,-1566954
Slovenia,SVN,2015,84179
Slovenia,SVN,2016,812880
Slovenia,SVN,2017,158317
Slovenia,SVN,2018,-96815
Slovenia,SVN,2019,-480429
Slovenia,SVN,2020,-1184531
Slovenia,SVN,2021,203972
Slovenia,SVN,2022,-357590
Slovenia,SVN,2023,-1372901
